"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","L027 (09).MP4","13.40089","Carangidae","Seriola","dumerili",5,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","L027 (10).MP4","17.25474","Monacanthidae","Nelusetta","ayraud",1,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","L027 (09).MP4","7.45801","Pinguipedidae","Parapercis","nebulosa",1,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","L027 (09).MP4","12.94849","Sparidae","Chrysophrys","auratus",4,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","L027 (11).MP4","52.71989","Tetraodontidae","Lagocephalus","sceleratus",2,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","L039 (11).MP4","34.40465","Apogonidae","Ostorhinchus","spp",2,"-28.0611","113.3714","20210512","11:19","NPZ6","No-take","npz6.13","109","Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","L039 (11).MP4","38.94947","Chaetodontidae","Chaetodon","assarius",1,"-28.0611","113.3714","20210512","11:19","NPZ6","No-take","npz6.13","109","Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","L039 (10).MP4","13.51294","Cirrhitidae","Paracirrhites","forsteri",1,"-28.0611","113.3714","20210512","11:19","NPZ6","No-take","npz6.13","109","Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","L039 (11).MP4","47.19882","Sparidae","Chrysophrys","auratus",4,"-28.0611","113.3714","20210512","11:19","NPZ6","No-take","npz6.13","109","Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","L039 (09).MP4","4.66271","Tetraodontidae","Lagocephalus","sceleratus",1,"-28.0611","113.3714","20210512","11:19","NPZ6","No-take","npz6.13","109","Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","L029 (03).MP4","15.00110","Carangidae","Seriola","hippos",1,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","L029 (04).MP4","31.39776","Labridae","Anampses","geographicus",1,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Y","Y"
