"imageptpair","filenameleft","frameleft","filenameright","frameright","sample","periodtime","length","precision","rms","range","direction","horzdir","vertdir","midx","midy","midz","family","genus","species","code","number","stage","activity","attribute9","attribute10","campaignid","x","y","z","sx","sy","sz","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"176","20210511_TOP_2_0006_0001.mp4","35576","20210511_BOTTOM_2_0006_0001.mp4","34558","npz6.21","2.35068",74.49606,"3.25249","5.33498","1556.46166","20.54991","69.86964","66.08704","38.71403","-544.98070","-1457.41901","Chaetodontidae","Chaetodon","assarius","37365012",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0737","113.4014","20210511","13:59:39","NPZ6","No-take","npz6.21","57.4","Claude","Y","Y"
"177","20210511_TOP_2_0006_0001.mp4","35576","20210511_BOTTOM_2_0006_0001.mp4","34558","npz6.21","2.35068",73.07902,"2.15009","5.47752","1712.05049","11.91300","31.05297","78.67810","61.87200","-347.95407","-1675.17662","Chaetodontidae","Chaetodon","assarius","37365012",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0737","113.4014","20210511","13:59:39","NPZ6","No-take","npz6.21","57.4","Claude","Y","Y"
"179","20210511_TOP_2_0007_0001.mp4","16911","20210511_BOTTOM_2_0007_0001.mp4","15893","npz6.31","0.36147",49.26243,"3.15638","1.96199","1836.84820","24.07357","39.96722","82.58811","499.53111","-558.45383","-1677.08356","Pinguipedidae","Parapercis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0711","113.3938","20210511","14:11:16","NPZ6","No-take","npz6.31","81.9","Claude","Y","Y"
"180","20210511_TOP_2_0007_0001.mp4","17080","20210511_BOTTOM_2_0007_0001.mp4","16062","npz6.31","0.45546",98.52486,"5.80960","1.75003","1923.27870","33.28183","62.95608","55.35333","707.90901","782.79206","-1607.82535","Pinguipedidae","Parapercis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0711","113.3938","20210511","14:11:16","NPZ6","No-take","npz6.31","81.9","Claude","Y","Y"
"1","20210511_TOP_3_0002_0001.mp4","28576","20210511_BOTTOM_3_0002_0001.mp4","25902","npz6.25","0.03726",52.21965,"3.79559","4.58687","1754.52264","31.76911","18.56283","79.88202","507.80648","771.65410","-1491.65418","SUS","SUS","SUS","2",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0362","113.3815","20210511","14:53:40","NPZ6","No-take","npz6.25","70.6","Claude","Y","Y"
"2","20210511_TOP_3_0002_0001.mp4","28797","20210511_BOTTOM_3_0002_0001.mp4","26123","npz6.25","0.16016",76.65476,"3.07845","1.55228","1765.62246","27.19622","2.28479","76.22733","524.42339","613.32104","-1570.42672","Labridae",NA,"sp3",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0362","113.3815","20210511","14:53:40","NPZ6","No-take","npz6.25","70.6","Claude","Y","Y"
"3","20210511_TOP_3_0002_0001.mp4","29335","20210511_BOTTOM_3_0002_0001.mp4","26661","npz6.25","0.45935",415.06362,"21.07094","7.47356","3713.45210","12.67811","72.17263","54.82469","-413.51928","702.30597","-3622.91245","Sparidae","Chrysophrys","auratus","37353001",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0362","113.3815","20210511","14:53:40","NPZ6","No-take","npz6.25","70.6","Claude","Y","Y"
"4","20210511_TOP_3_0002_0001.mp4","29896","20210511_BOTTOM_3_0002_0001.mp4","27222","npz6.25","0.77133",67.72388,"2.23002","0.45631","1833.04735","17.46868","85.62479","81.22956","489.38945","251.54611","-1748.50940","Pinguipedidae","Parapercis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0362","113.3815","20210511","14:53:40","NPZ6","No-take","npz6.25","70.6","Claude","Y","Y"
"6","20210511_TOP_3_0003_0001.mp4","16969","20210511_BOTTOM_3_0003_0001.mp4","14295","npz6.1","0.53164",641.58271,"8.30981","3.75261","3613.28605","20.38965","13.58321","61.82542","1202.46483","372.63074","-3386.89544","Labridae","Choerodon","rubescens","37384039",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0459","113.3761","20210511","15:06:51","NPZ6","No-take","npz6.1","90.9","Claude","Y","Y"
"7","20210511_TOP_3_0003_0001.mp4","17257","20210511_BOTTOM_3_0003_0001.mp4","14583","npz6.1","0.69180",312.39948,"8.14171","12.30851","5018.55426","8.99404","51.89544","82.27418","-783.33438","43.82272","-4956.84917","Sparidae","Chrysophrys","auratus","37353001",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0459","113.3761","20210511","15:06:51","NPZ6","No-take","npz6.1","90.9","Claude","Y","Y"
"9","20210511_TOP_3_0004_0001.mp4","3982","20210511_BOTTOM_3_0004_0001.mp4","1308","npz6.9","0.97208",55.13838,"2.46197","4.33391","2196.66135","15.98792","3.28628","69.37229","534.41438","-283.67373","-2111.69401","Pinguipedidae","Parapercis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0486","113.3687","20210511","15:19:08","NPZ6","No-take","npz6.9","101","Claude","Y","Y"
"1","20210513_TOP_1_0006_0001.mp4","11783","20210513_BOTTOM_1_0006_0001.mp4","10700","npz6.42","0.47436",136.93096,"3.98265","11.75661","1368.04550","35.15971","87.06141","26.67379","418.87217","-667.21360","-1118.44563","Nemipteridae","Pentapodus","nagasakiensis","37347012",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1213","113.5639","20210513","09:33:46","NPZ6","Fished","out6.5","48.5","Claude","Y","Y"
"2","20210513_TOP_1_0006_0001.mp4","11839","20210513_BOTTOM_1_0006_0001.mp4","10756","npz6.42","0.48993",126.65913,"5.32262","10.48831","1647.45681","31.52499","89.18158","40.02845","376.75839","774.64459","-1404.31222","Nemipteridae","Pentapodus","nagasakiensis","37347012",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1213","113.5639","20210513","09:33:46","NPZ6","Fished","out6.5","48.5","Claude","Y","Y"
"3","20210513_TOP_1_0006_0001.mp4","11892","20210513_BOTTOM_1_0006_0001.mp4","10809","npz6.42","0.50467",148.87829,"12.03681","8.51219","2346.04358","32.94154","85.67676","5.46548","444.46496","-1195.80923","-1968.86050","Nemipteridae","Pentapodus","nagasakiensis","37347012",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1213","113.5639","20210513","09:33:46","NPZ6","Fished","out6.5","48.5","Claude","Y","Y"
"4","20210513_TOP_1_0006_0001.mp4","11919","20210513_BOTTOM_1_0006_0001.mp4","10836","npz6.42","0.51218",117.10017,"10.35137","7.81836","2282.73707","34.87055","84.38062","32.06637","620.37649","-1148.21978","-1872.86222","Nemipteridae","Pentapodus","nagasakiensis","37347012",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1213","113.5639","20210513","09:33:46","NPZ6","Fished","out6.5","48.5","Claude","Y","Y"
"7","20210513_TOP_1_0006_0001.mp4","18789","20210513_BOTTOM_1_0006_0001.mp4","17706","npz6.42","2.42242",111.59542,"1.57455","5.01480","1322.92673","27.40850","30.66008","73.98284","540.24658","281.06248","-1174.42439","Mullidae","Parupeneus","chrysopleuron","37355016",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1213","113.5639","20210513","09:33:46","NPZ6","Fished","out6.5","48.5","Claude","Y","Y"
"8","20210513_TOP_1_0006_0001.mp4","18789","20210513_BOTTOM_1_0006_0001.mp4","17706","npz6.42","2.42242",110.23015,"2.35501","5.40134","1202.01831","33.64385","66.88061","57.02257","488.90135","452.18197","-1000.67725","Mullidae","Parupeneus","chrysopleuron","37355016",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1213","113.5639","20210513","09:33:46","NPZ6","Fished","out6.5","48.5","Claude","Y","Y"
"9","20210513_TOP_1_0006_0001.mp4","18809","20210513_BOTTOM_1_0006_0001.mp4","17726","npz6.42","2.42798",108.14649,"2.20768","11.45993","1318.40720","34.16126","11.24718","74.79286","489.96696","554.97942","-1090.92976","Mullidae","Parupeneus","chrysopleuron","37355016",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1213","113.5639","20210513","09:33:46","NPZ6","Fished","out6.5","48.5","Claude","Y","Y"
"10","20210513_TOP_1_0006_0001.mp4","49000","20210513_BOTTOM_1_0006_0001.mp4","47917","npz6.50","0.38149",47.77341,"1.64676","4.69235","997.12337","21.36023","69.20786","54.97798","358.30938","-59.29589","-928.62985","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"11","20210513_TOP_1_0006_0001.mp4","49014","20210513_BOTTOM_1_0006_0001.mp4","47931","npz6.50","0.38538",44.2755,"0.84064","4.78618","896.81296","23.05893","4.46762","65.45383","269.76557","-224.96943","-825.15985","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"12","20210513_TOP_1_0006_0001.mp4","49026","20210513_BOTTOM_1_0006_0001.mp4","47943","npz6.50","0.38872",37.26368,"1.15516","6.51214","811.49039","27.18987","54.07010","50.50186","255.64347","-268.59129","-721.81840","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"13","20210513_TOP_1_0006_0001.mp4","49038","20210513_BOTTOM_1_0006_0001.mp4","47955","npz6.50","0.39206",43.32566,"1.58276","4.78661","1109.60031","19.04644","41.78525","55.55153","297.46901","206.46841","-1048.85453","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"14","20210513_TOP_1_0006_0001.mp4","49048","20210513_BOTTOM_1_0006_0001.mp4","47965","npz6.50","0.39484",44.76586,"1.22352","1.43337","1013.12489","26.04947","19.68861","45.31510","236.10245","377.09579","-910.20681","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"15","20210513_TOP_1_0006_0001.mp4","49049","20210513_BOTTOM_1_0006_0001.mp4","47966","npz6.50","0.39512",38.1212,"1.30188","2.21991","1069.02907","24.65242","17.15624","54.32871","167.36397","413.30486","-971.59228","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"16","20210513_TOP_1_0006_0001.mp4","49051","20210513_BOTTOM_1_0006_0001.mp4","47968","npz6.50","0.39567",42.44973,"0.76910","2.94455","955.39149","13.59636","7.87343","58.48962","162.06255","155.49304","-928.61754","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"17","20210513_TOP_1_0006_0001.mp4","49054","20210513_BOTTOM_1_0006_0001.mp4","47971","npz6.50","0.39651",41.71107,"0.90914","6.56107","905.95364","22.98458","32.09188","75.05298","265.37298","-233.93000","-834.02993","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"18","20210513_TOP_1_0006_0001.mp4","49058","20210513_BOTTOM_1_0006_0001.mp4","47975","npz6.50","0.39762",48.74338,"2.62521","1.24551","1251.63711","28.51424","56.34454","46.89518","183.72891","568.55379","-1099.81168","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"19","20210513_TOP_1_0006_0001.mp4","49060","20210513_BOTTOM_1_0006_0001.mp4","47977","npz6.50","0.39818",43.62907,"0.82068","7.79059","835.92493","24.35625","5.94450","56.31453","199.29207","-281.30114","-761.52665","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"20","20210513_TOP_1_0006_0001.mp4","49061","20210513_BOTTOM_1_0006_0001.mp4","47978","npz6.50","0.39845",50.86829,"2.14571","1.62427","1158.89536","16.37813","48.72581","44.20683","49.63011","322.98908","-1111.86931","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"21","20210513_TOP_1_0006_0001.mp4","49066","20210513_BOTTOM_1_0006_0001.mp4","47983","npz6.50","0.39984",46.89266,"1.11711","7.46980","967.37767","29.67429","8.00727","53.65891","342.49050","-334.75840","-840.50975","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"22","20210513_TOP_1_0006_0001.mp4","49067","20210513_BOTTOM_1_0006_0001.mp4","47984","npz6.50","0.40012",50.42408,"1.80223","3.58647","1296.47737","25.39178","10.77578","55.89954","10.58877","555.83583","-1171.23353","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"23","20210513_TOP_1_0006_0001.mp4","49068","20210513_BOTTOM_1_0006_0001.mp4","47985","npz6.50","0.40040",41.42158,"0.93762","4.44688","1066.68588","15.69887","12.12526","52.13914","288.01703","18.73090","-1026.89537","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"24","20210513_TOP_1_0006_0001.mp4","49075","20210513_BOTTOM_1_0006_0001.mp4","47992","npz6.50","0.40235",48.78182,"0.92992","11.12741","823.35789","25.57094","39.25875","73.09467","183.34439","-304.43892","-742.71124","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"25","20210513_TOP_1_0006_0001.mp4","49078","20210513_BOTTOM_1_0006_0001.mp4","47995","npz6.50","0.40318",40.66275,"1.60460","2.15395","982.08133","27.80996","40.83494","28.38087","194.67463","414.76654","-868.65082","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"26","20210513_TOP_1_0006_0001.mp4","49078","20210513_BOTTOM_1_0006_0001.mp4","47995","npz6.50","0.40318",40.82904,"1.33302","0.81131","1034.25503","30.24913","17.38192","49.61583","207.75493","477.80415","-893.43413","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"27","20210513_TOP_1_0006_0001.mp4","49079","20210513_BOTTOM_1_0006_0001.mp4","47996","npz6.50","0.40346",49.11069,"1.11604","2.18842","953.60593","20.92030","28.13713","56.95653","108.18068","322.86107","-890.74235","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"28","20210513_TOP_1_0006_0001.mp4","49086","20210513_BOTTOM_1_0006_0001.mp4","48003","npz6.50","0.40541",46.42989,"1.40200","5.44644","1088.20281","18.67423","27.05806","46.32935","286.82932","-197.81613","-1030.91371","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"29","20210513_TOP_1_0006_0001.mp4","49086","20210513_BOTTOM_1_0006_0001.mp4","48003","npz6.50","0.40541",40.98707,"0.66977","5.48058","904.34907","18.91904","12.82149","69.44479","291.10744","-35.12422","-855.49400","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"30","20210513_TOP_1_0006_0001.mp4","49093","20210513_BOTTOM_1_0006_0001.mp4","48010","npz6.50","0.40735",44.42029,"1.60999","8.51847","1040.39371","26.43442","46.58068","55.61148","278.86978","-369.78999","-931.61477","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"31","20210513_TOP_1_0006_0001.mp4","49094","20210513_BOTTOM_1_0006_0001.mp4","48011","npz6.50","0.40763",52.77915,"1.77973","5.19116","1131.22769","33.44328","2.82123","66.91209","87.06550","617.32276","-943.93236","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"32","20210513_TOP_1_0006_0001.mp4","49103","20210513_BOTTOM_1_0006_0001.mp4","48020","npz6.50","0.41013",43.03216,"0.82424","6.64359","1164.69351","5.62818","8.65215","63.89239","113.88986","8.73401","-1159.07885","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"33","20210513_TOP_1_0006_0001.mp4","49110","20210513_BOTTOM_1_0006_0001.mp4","48027","npz6.50","0.41208",46.63041,"1.22357","6.08661","1000.70968","15.92339","37.99521","55.29638","273.71641","-21.33249","-962.31186","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"34","20210513_TOP_1_0006_0001.mp4","49111","20210513_BOTTOM_1_0006_0001.mp4","48028","npz6.50","0.41236",45.17051,"0.71289","8.52506","839.38507","18.08059","18.88842","57.84972","253.05991","61.84238","-797.93703","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"35","20210513_TOP_1_0006_0001.mp4","49112","20210513_BOTTOM_1_0006_0001.mp4","48029","npz6.50","0.41263",42.80103,"2.12951","1.46497","1101.15514","29.90981","54.51471","37.09066","38.17251","547.74718","-954.49386","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"36","20210513_TOP_1_0006_0001.mp4","49123","20210513_BOTTOM_1_0006_0001.mp4","48040","npz6.50","0.41569",47.41177,"1.12070","2.65007","1106.64897","21.65660","3.89268","49.21175","295.54070","281.86331","-1028.53328","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"37","20210513_TOP_1_0006_0001.mp4","49125","20210513_BOTTOM_1_0006_0001.mp4","48042","npz6.50","0.41625",49.82692,"1.36256","2.85416","1163.81948","24.02974","13.62776","64.24742","328.31360","341.77500","-1062.95617","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"38","20210513_TOP_1_0006_0001.mp4","49125","20210513_BOTTOM_1_0006_0001.mp4","48042","npz6.50","0.41625",45.64652,"3.04605","3.38762","1297.65751","22.22105","70.78175","46.97885","-12.37057","490.59346","-1201.28267","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"39","20210513_TOP_1_0006_0001.mp4","49127","20210513_BOTTOM_1_0006_0001.mp4","48044","npz6.50","0.41681",49.18251,"2.49409","14.79366","1217.82555","32.47655","68.97623","56.89606","170.86209","-631.19982","-1027.37141","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"40","20210513_TOP_1_0006_0001.mp4","49127","20210513_BOTTOM_1_0006_0001.mp4","48044","npz6.50","0.41681",45.08024,"1.66594","9.22595","1123.71037","27.01734","30.91254","69.64325","128.97387","-493.89457","-1001.07887","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"41","20210513_TOP_1_0006_0001.mp4","49127","20210513_BOTTOM_1_0006_0001.mp4","48044","npz6.50","0.41681",52.56896,"1.13011","4.27650","915.58509","21.09998","30.82094","45.99998","155.76860","290.47744","-854.19849","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"42","20210513_TOP_1_0006_0001.mp4","49128","20210513_BOTTOM_1_0006_0001.mp4","48045","npz6.50","0.41708",45.46768,"1.06916","4.78396","1151.16384","15.07993","9.62648","46.99658","209.71747","213.81127","-1111.52216","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"43","20210513_TOP_1_0006_0001.mp4","49131","20210513_BOTTOM_1_0006_0001.mp4","48048","npz6.50","0.41792",35.68535,"1.57956","7.55140","967.26823","18.49391","47.95823","42.73344","176.12081","-251.23842","-917.31595","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"44","20210513_TOP_1_0006_0001.mp4","49133","20210513_BOTTOM_1_0006_0001.mp4","48050","npz6.50","0.41847",50.30917,"1.60819","5.43319","897.20426","19.21232","56.96760","39.49163","291.03096","-49.69140","-847.23505","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"45","20210513_TOP_1_0006_0001.mp4","49137","20210513_BOTTOM_1_0006_0001.mp4","48054","npz6.50","0.41959",48.09349,"1.14746","5.87786","958.78439","20.15794","42.18841","60.95653","280.57830","-174.48168","-900.05526","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"46","20210513_TOP_1_0006_0001.mp4","49139","20210513_BOTTOM_1_0006_0001.mp4","48056","npz6.50","0.42014",48.21214,"1.14424","4.99473","1056.89119","17.17360","22.38900","58.24911","151.14386","273.02146","-1009.76918","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"47","20210513_TOP_1_0006_0001.mp4","49141","20210513_BOTTOM_1_0006_0001.mp4","48058","npz6.50","0.42070",42.80738,"2.10406","9.96839","1221.85862","30.66721","34.99606","61.68709","61.45353","-620.17251","-1050.97479","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
"48","20210513_TOP_1_0006_0001.mp4","49141","20210513_BOTTOM_1_0006_0001.mp4","48058","npz6.50","0.42070",44.35027,"1.65417","2.60351","835.24318","30.21081","65.84426","18.08571","285.64199","308.29217","-721.80036","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.1211","113.5564","20210513","09:44:13","NPZ6","Fished","out6.13","32","Claude","Y","Y"
