"imageptpair","filenameleft","frameleft","filenameright","frameright","sample","periodtime","length","precision","rms","range","direction","horzdir","vertdir","midx","midy","midz","family","genus","species","code","number","stage","activity","attribute9","attribute10","campaignid","x","y","z","sx","sy","sz","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"15","20210511_TOP_1_0002_0001.mp4","23612","20210511_BOTTOM_1_0002_0001.mp4","23081","npz6.34","2.59092",236.3051,"9.24491","18.29343","2976.04555","22.24165","41.28945","68.09104","524.54305","996.89462","-2754.61483","Mullidae","Parupeneus","spilurus","37355015",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0563","113.549","20210511","10:39:57","NPZ6","No-take","npz6.34","49.1","Claude","Y","Y"
"16","20210511_TOP_1_0002_0001.mp4","24015","20210511_BOTTOM_1_0002_0001.mp4","23484","npz6.34","2.81503",251.41532,"2.99562","4.92868","2064.08368","19.28057","11.93664","67.52737","540.73670","414.86418","-1948.31542","Mullidae","Parupeneus","spilurus","37355015",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0563","113.549","20210511","10:39:57","NPZ6","No-take","npz6.34","49.1","Claude","Y","Y"
"17","20210511_TOP_1_0002_0001.mp4","24237","20210511_BOTTOM_1_0002_0001.mp4","23706","npz6.34","2.93849",413.10967,"10.96406","5.24309","2882.64662","23.96847","63.70334","66.61108","-21.64111","-1170.82874","-2634.07350","Serranidae","Plectropomus","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0563","113.549","20210511","10:39:57","NPZ6","No-take","npz6.34","49.1","Claude","Y","Y"
"18","20210511_TOP_1_0002_0001.mp4","24347","20210511_BOTTOM_1_0002_0001.mp4","23816","npz6.34","2.99966",390.67376,"6.92920","7.82600","2296.66635","29.21866","52.00861","75.36927","213.77199","1100.53417","-2004.44566","Lethrinidae","Lethrinus","miniatus","37351009",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0563","113.549","20210511","10:39:57","NPZ6","No-take","npz6.34","49.1","Claude","Y","Y"
"19","20210511_TOP_1_0003_0001.mp4","11960","20210511_BOTTOM_1_0003_0001.mp4","11429","npz6.19","0.55889",88.93135,"2.69487","3.64303","1881.97947","12.17726","83.92834","78.64378","-211.93164","335.67412","-1839.63436","Pomacentridae","Chromis","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"20","20210511_TOP_1_0003_0001.mp4","11973","20210511_BOTTOM_1_0003_0001.mp4","11442","npz6.19","0.56612",121.75393,"1.63451","0.83237","1467.84441","8.90305","28.45191","69.06553","74.80994","-214.49659","-1450.15927","Nemipteridae","Pentapodus","nagasakiensis","37347012",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"22","20210511_TOP_1_0003_0001.mp4","12022","20210511_BOTTOM_1_0003_0001.mp4","11491","npz6.19","0.59337",146.03247,"7.69599","11.73245","2216.79051","31.34978","82.32415","62.43069","-109.36267","-1148.11345","-1893.15490","Nemipteridae","Pentapodus","nagasakiensis","37347012",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"23","20210511_TOP_1_0003_0001.mp4","12264","20210511_BOTTOM_1_0003_0001.mp4","11733","npz6.19","0.72795",168.50155,"1.03921","6.21221","1114.34212","10.44524","26.37526","66.65120","155.31994","129.18966","-1095.87596","Nemipteridae","Pentapodus","nagasakiensis","37347012",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"24","20210511_TOP_1_0003_0001.mp4","13610","20210511_BOTTOM_1_0003_0001.mp4","13079","npz6.19","1.47648",270.67114,"2.93620","3.38606","1549.20394","24.00956","60.46875","67.17351","460.71830","430.21498","-1415.16309","Labridae","Choerodon","rubescens","37384039",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
"25","20210511_TOP_1_0003_0001.mp4","13638","20210511_BOTTOM_1_0003_0001.mp4","13107","npz6.19","1.49205",289.43708,"6.79455","1.40291","2291.24893","21.34361","37.97756","45.24550","101.16965","827.76402","-2134.10241","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_BOSS",NA,NA,NA,NA,NA,NA,"-28.0463","113.5314","20210511","10:55:30","NPZ6","No-take","npz6.19","48.1","Claude","Y","Y"
