"","depth","macroalgae","biog","mean.relief","tpi","roughness","detrended"
"greater than legal size",0.029,0.016,0.208,0.022,0.022,0.005,0.897
"smaller than legal size",0.155,0.103,0.228,0.131,0.422,0.109,0.033
