"","location","scientific","fishing.type","australian.common.name"
"1","NPZ9","Lethrinidae Lethrinus miniatus","C/R","Redthroat emperor"
"2","NPZ9","Lutjanidae Pristipomoides multidens","C","Goldband snapper"
"3","NPZ9","Lutjanidae Pristipomoides typus","C","Sharptooth snapper"
"4","NPZ9","Sparidae Chrysophrys auratus","C/R","Pink snapper"
"5","NPZ9","Lethrinidae Lethrinus nebulosus","C/R","Spangled emperor"
"6","NPZ9","Carangidae Seriola hippos","C/R","Samsonfish"
"7","NPZ9","Carcharhinidae Carcharhinus plumbeus","C","Sandbar shark"
"8","NPZ9","Lethrinidae Gymnocranius grandoculis","C/R","Robinson's seabream"
"9","NPZ9","Lethrinidae Gymnocranius spp","R",NA
"10","NPZ9","Serranidae Epinephelus morrhua","C","Comet grouper"
"11","NPZ9","Glaucosomatidae Glaucosoma buergeri","C","Northern pearl perch"
"12","NPZ9","Carcharhinidae Carcharhinus albimarginatus","C/R","Silvertip shark"
"13","NPZ9","Labridae Choerodon rubescens","C/R","Baldchin groper"
"14","NPZ9","Lethrinidae Unknown spp","R",NA
