,depth,macroalgae,biog,mean.relief,tpi,roughness,detrended
greater than legal size,0.119,NA,0.036,-0.167,0.368,0.368,-0.086
smaller than legal size,0.854,NA,-0.038,0.001,0,-0.854,-0.049
