"campaignid","sample","family","genus","species","maxn","stereo.maxn","difference","percent.difference"
"2021-05_Abrolhos_BOSS","npz9.19","Lethrinidae","Lethrinus","miniatus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.23","Pinguipedidae","Parapercis","spp",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.24","Lethrinidae","Lethrinus","miniatus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.24","SUS","SUS","SUS",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.25","Pinguipedidae","Parapercis","spp",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.4","Lethrinidae","Lethrinus","miniatus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.42","Labridae","Unknown","spp",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.47","Lethrinidae","Lethrinus","miniatus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.48","Lethrinidae","Lethrinus","miniatus",0,1,1,Inf
"2021-05_Abrolhos_BOSS","npz9.6","Lethrinidae","Gymnocranius","spp",0,1,1,Inf
