"campaignid","sample","family","genus","species","length","min.length","max.length","fb.length_max","reason","difference","percent.of.fb.max"
"2021-05_Abrolhos_BOSS","npz6.34","Labridae","Anampses","geographicus",271.36238,46.5,263.5,310,"too big",7.86237999999997,87.5362516129032
"2021-05_Abrolhos_BOSS","npz6.19","Pomacentridae","Chromis","westaustralis",88.93135,12.75,72.25,85,"too big",16.68135,104.625117647059
"2021-05_Abrolhos_BOSS","npz6.5","Labridae","Suezichthys","cyanolaemus",83.94285,14.55,82.45,97,"too big",1.49285,86.5390206185567
"2021-05_Abrolhos_BOSS","npz6.37","Labridae","Suezichthys","cyanolaemus",118.84847,14.55,82.45,97,"too big",36.39847,122.524195876289
"2021-05_Abrolhos_BOSS","npz6.14","Pomacentridae","Chromis","westaustralis",72.96856,12.75,72.25,85,"too big",0.718559999999997,85.8453647058824
"2021-05_Abrolhos_BOSS","npz6.14","Labridae","Coris","auricularis",52.72495,60,340,400,"too small",7.27505,13.1812375
"2021-05_Abrolhos_BOSS","npz6.26","Pomacentridae","Chromis","westaustralis",72.74998,12.75,72.25,85,"too big",0.499979999999994,85.5882117647059
"2021-05_Abrolhos_BOSS","npz6.26","Pomacentridae","Chromis","westaustralis",72.55447,12.75,72.25,85,"too big",0.304469999999995,85.3582
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Austrolabrus","maculatus",111.64592,18.825,106.675,125.5,"too big",4.97092000000001,88.9608924302789
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Coris","auricularis",53.8883,60,340,400,"too small",6.1117,13.472075
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Coris","auricularis",59.98839,60,340,400,"too small",0.0116099999999975,14.9970975
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Coris","auricularis",59.44749,60,340,400,"too small",0.552509999999998,14.8618725
"2021-05_Abrolhos_BOSS","npz6.20","Pomacentridae","Chromis","westaustralis",89.29059,12.75,72.25,85,"too big",17.04059,105.047752941176
"2021-05_Abrolhos_BOSS","npz6.20","Pomacentridae","Chromis","westaustralis",78.83918,12.75,72.25,85,"too big",6.58918,92.7519764705882
"2021-05_Abrolhos_BOSS","npz6.20","Pomacentridae","Chromis","westaustralis",81.70759,12.75,72.25,85,"too big",9.45759,96.1265764705882
"2021-05_Abrolhos_BOSS","npz6.21","Pomacentridae","Chromis","westaustralis",80.40469,12.75,72.25,85,"too big",8.15469,94.5937529411765
"2021-05_Abrolhos_BOSS","npz6.50","Labridae","Coris","auricularis",58.81929,60,340,400,"too small",1.18071,14.7048225
"2021-05_Abrolhos_BOSS","npz6.50","Labridae","Coris","auricularis",54.87627,60,340,400,"too small",5.12373,13.7190675
"2021-05_Abrolhos_BOSS","npz6.18","Scaridae","Scarus","chameleon",282.93034,46.5,263.5,310,"too big",19.43034,91.2678516129032
"2021-05_Abrolhos_BOSS","npz6.18","Pomacentridae","Chromis","westaustralis",76.45836,12.75,72.25,85,"too big",4.20836,89.9510117647059
"2021-05_Abrolhos_BOSS","npz6.18","Pomacentridae","Chromis","westaustralis",89.13132,12.75,72.25,85,"too big",16.88132,104.860376470588
"2021-05_Abrolhos_BOSS","npz6.18","Pomacentridae","Chromis","westaustralis",89.91055,12.75,72.25,85,"too big",17.66055,105.777117647059
"2021-05_Abrolhos_BOSS","npz6.18","Pomacentridae","Chromis","westaustralis",75.34608,12.75,72.25,85,"too big",3.09608,88.6424470588235
