"campaignid","sample","family","genus","species"
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","Cirrhitidae","Paracirrhites","forsteri"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Unknown","sp1"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Scaridae","Scarus","sp3"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Trygonorrhinidae","Aptychotrema","vincentiana"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Cirrhitidae","Paracirrhites","forsteri"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Dasyatidae","Taeniurops","meyeni"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Labridae","Bodianus","solatus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Nempiteridae","Pentapodus","nagasakiensis"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Unknown","Unknown","sp"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Nemipteridae","Pentapodus","nagasakiensis"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Tetraodontidae","Torquigener","sp10"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Unknown","Unknown","sp1"
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Nemipteridae","Pentapodus","nagasakiensis"
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Labridae","Bodianus","solatus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Nemipteridae","Pentapodus","nagasakiensis"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Acanthuridae","Acanthurus","olivaceus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Acanthuridae","Acanthurus","xanthopterus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Carangidae","Carangoides","fulvoguttatus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Chaetodontidae","Chaetodon","lunula"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Labridae","Coris","caudimacula"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Lethrinidae","Lethrinus","ravus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Monacanthidae","Unknown","sp1"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Siganidae","Siganus","argenteus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Zanclidae","Zanclus","cornutus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Labridae","Unknown","sp1"
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Pempherididae","Pempheris","tominagai"
"2021-05_Abrolhos_stereo-BRUVs","npz6.28","Unknown","Unknown","unknown"
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Labridae","Bodianus","solatus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Labridae","Unknown","sp"
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Labridae","Bodianus","solatus"
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Nemipteridae","Pentapodus","nagasakiensis"
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Labridae","Stethojulis","sp"
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Scaridae","Scarus","sp3"
"2021-05_Abrolhos_stereo-BRUVs","npz6.8","Ariidae","Netuma","thalassina"
"2021-05_Abrolhos_stereo-BRUVs","npz9.1","Labridae","Bodianus","solatus"
"2021-05_Abrolhos_stereo-BRUVs","npz9.1","Lutjanidae","Pristipomoides","multidens"
"2021-05_Abrolhos_stereo-BRUVs","npz9.1","Serranidae","Epinephelus","areolatus"
"2021-05_Abrolhos_stereo-BRUVs","npz9.10","Labridae","Stethojulis","sp1"
"2021-05_Abrolhos_stereo-BRUVs","npz9.10","Nemipteridae","Pentapodus","nagasakiensis"
"2021-05_Abrolhos_stereo-BRUVs","npz9.13","Serranidae","Epinephelus","areolatus"
"2021-05_Abrolhos_stereo-BRUVs","npz9.14","Lethrinidae","Gymnocranius","grandoculis"
"2021-05_Abrolhos_stereo-BRUVs","npz9.16","Labridae","Bodianus","solatus"
