Sample,Sampleold,Longitude,Latitude,Date,Time,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Type,Left.cam,Right.cam,Video.notes,Raw.hdd.number,Con.hdd.number,FishNClip,Habitat.forwards.image.saved,Habitat.forwards.annotated,Habitat.backwards.image.saved,Habitat.backwards.annotated,Habitat.notes,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
npz9.11,11,113.1889,-27.1238,20210515,8:46,npz9.11,NPZ9,No-take,85.8,Molly,Y,,MBH,39,40,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,,20210728,,,,check pentapodus
npz9.19,19,113.1764,-27.1539,20210515,8:58,npz9.19,NPZ9,No-take,87.1,Molly,Y,No,MBH,41,42,Left missing,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,,20210809,,,,
npz9.30,30,113.1864,-27.1187,20210515,8:43,npz9.30,NPZ9,No-take,90.3,Molly,Y,,MBH,43,44,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,,20210818,,,,check gymnocranius
npz9.10,10,113.1565,-27.1638,20210515,10:36,npz9.10,NPZ9,No-take,93.6,Molly,Y,,MBH,33,34,eDNA sample,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,,20210721,,,,
npz9.22,22,113.1413,-27.1537,20210515,10:34,npz9.22,NPZ9,No-take,102,Molly,Y,,MBH,37,38,37/38 in wrong housing,RAW2,,Yes,Yes,Yes,Yes,Yes,"only 4 successful points, bruv kind of facing up",,,,20210727,,,,check unknown sp
npz9.2,2,113.1465,-27.1411,20210515,10:52,npz9.2,NPZ9,No-take,92.1,Molly,Y,,MBH,31,32,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,,20210712,,,,check gymnocranius
npz9.14,14,113.1364,-27.1438,20210515,10:56,npz9.14,NPZ9,No-take,101,Molly,Y,,MBH,29,30,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,,20210709,,,,check monocathidae
npz9.3,3,113.1239,-27.1312,20210515,11:04,npz9.3,NPZ9,No-take,104,Molly,Y,,MBH,27,28,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,,20210706,,,,
npz9.8,8,113.1189,-27.1261,20210515,11:08,npz9.8,NPZ9,No-take,105,Molly,Y,,MBH,43,44,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,,20210811,,,,check all sp (numbers)
npz9.24,24,113.1067,-27.1311,20210515,11:14,npz9.24,NPZ9,No-take,117,Molly,Y,,MBH,39,40,,RAW2,,Yes,Yes,Yes,Yes,Yes,think octocoral fan in distance but too far to be sure,,,,20210728,,,,check all sp. pretty good shot of parapercis in backwards habitat - Claude
npz9.21,21,113.1014,-27.1362,20210515,11:26,npz9.21,NPZ9,No-take,122,Molly,Y,,MBH,35,36,eDNA sample,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,,20210723,,,,
npz9.16,16,113.109,-27.1187,20210515,13:16,npz9.16,NPZ9,No-take,108,Molly,Y,,MBH,33,34,Time out is an estimate,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,,20210721,,,,check all sp
npz9.27,27,113.1014,-27.1164,20210515,13:21,npz9.27,NPZ9,No-take,114,Molly,Y,,MBH,37,38,"37/38 in wrong housing, swapped",RAW2,,Yes,Yes,Yes,Yes,Yes,,,,,20210728,,,,check gymnthorax and unknowns
npz9.13,13,113.1038,-27.1113,20210515,13:27,npz9.13,NPZ9,No-take,109,Molly,Y,,MBH,31,32,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,,20210713,,,,check unknowns
npz9.17,17,113.0913,-27.1012,20210515,13:37,npz9.17,NPZ9,No-take,114,Molly,Y,,MBH,29,30,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,,20210712,,,,
npz9.1,1,113.0863,-27.0962,20210515,13:43,npz9.1,NPZ9,No-take,116,Molly,Y,,MBH,27,28,eDNA sample,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,,20210709,,,,
npz9.28,28,113.0538,-27.1013,20210515,13:57,npz9.28,NPZ9,No-take,132,Molly,Y,,MBH,43,44,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,,20210818,,,,
npz9.18,18,113.0664,-27.1236,20210515,14:08,npz9.18,NPZ9,No-take,132,Molly,Y,,MBH,39,40,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,,20210806,,,,check unknowns
npz9.25,25,113.074,-27.1462,20210515,14:17,npz9.25,NPZ9,No-take,133,Molly,Y,,MBH,35,36,eDNA sample,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,,20210809,,,,check triakidae
npz9.4,4,113.1139,-27.1163,20210515,13:11,npz9.4,NPZ9,No-take,104,Molly,Y,No,MBH,41,42,"Both cams off, Left missing. Right cam end at 38:50",RAW2,,Yes,Yes,Yes,Yes,Yes,,,,,20210809,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  ,
