"sample","family","genus","species","length","number","range","frameleft","frameright","marine.region","latitude","longitude","date","time","site","location","status","depth","successful.count","successful.length","NetName","ResName","ResArea","zone","ZoneIUCN","NatLegend","Area_KM2","GAZ_DATE","LATEST_GAZ","campaignid","project","id","scientific"
"npz6.1","Ginglymostomatidae","Nebrius","ferrugineus",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Nebrius ferrugineus"
"npz6.1","Glaucosomatidae","Glaucosoma","hebraicum",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Glaucosoma hebraicum"
"npz6.1","Labridae","Anampses","geographicus",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Anampses geographicus"
"npz6.1","Labridae","Austrolabrus","maculatus",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Austrolabrus maculatus"
"npz6.1","Labridae","Bodianus","bilunulatus",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Bodianus bilunulatus"
"npz6.1","Labridae","Bodianus","solatus",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Bodianus solatus"
"npz6.1","Labridae","Choerodon","rubescens",641.58271,1,3613.28605,16969,14295,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Choerodon rubescens"
"npz6.1","Labridae","Coris","auricularis",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Coris auricularis"
"npz6.1","Labridae","Coris","caudimacula",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Coris caudimacula"
"npz6.1","Labridae","Halichoeres","nigrescens",NA,0,NA,NA,NA,"South-west",-28.0459,113.3761,20210511,"15:06:51","npz6.1","NPZ6","No-take",90.9,"Yes","Yes","South-west","Abrolhos",88060.265694,"National Park","II","National Park Zone (IUCN II)",233.611608334,"1899/12/30","1899/12/30","2021-05_Abrolhos_BOSS","Abrolhos BOSS","Abrolhos BOSS.2021-05_Abrolhos_BOSS","Halichoeres nigrescens"
